,id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,budget,production_companies,revenue,runtime,tagline
220,767,Harry Potter and the Half-Blood Prince,2009-07-07,"['Adventure', 'Fantasy']",English,7.7,17747,127.775,"As Lord Voldemort tightens his grip on both the Muggle and wizarding worlds, Hogwarts is no longer a safe haven. Harry suspects perils may even lie within the castle, but Dumbledore is more intent upon preparing him for the final battle fast approaching. Together they work to find the key to unlock Voldemorts defenses and to this end, Dumbledore recruits his old friend and colleague Horace Slughorn, whom he believes holds crucial information. Even as the decisive showdown looms, romance blossoms for Harry, Ron, Hermione and their classmates. Love is in the air, but danger lies ahead and Hogwarts may never be the same again.",250000000,"['Warner Bros. Pictures', 'Heyday Films']",933959197,153,Dark Secrets Revealed
221,790496,Bad Luck Banging or Loony Porn,2021-04-29,['Comedy'],Romanian,6.6,164,127.753,"Emi, a school teacher, finds her career and reputation under threat after a personal sex tape is leaked on the Internet. Forced to meet the parents demanding her dismissal, Emi refuses to surrender to their pressure.",0,"['Paul Thiltges Distributions', 'Endorfilm', 'Kinorama', 'Bord Cadre Films', 'Sovereign Films', 'Aqua Carpatica', 'ArteKino International', 'Covalact', 'Hrvatski Audiovizualni Centar', 'Czech Film Fund', 'Film Fund Luxemburg', 'microFILM']",0,106,Sketch for a Popular Film
222,1079078,Royalteen: Princess Margrethe,2023-05-11,"['Drama', 'Romance']",Norwegian,7.0,71,127.551,"Last year’s prom ended in major drama for Princess Margrethe. She doesn’t dare tell anyone about what happened the night she was hospitalized. Suddenly the Danish royal family plans to visit Norway, and Princess Margrethe will finally get to meet the handsome Danish prince that she's been chatting with for months. As family drama starts piling up for the royal Norwegian family, she finds herself lost between taking care of her family, portraying herself as a strong princess, and being vulnerable in her quest for love.",0,['The Global Ensemble Drama'],0,98,
223,718930,Bullet Train,2022-07-03,"['Action', 'Comedy', 'Thriller']",English,7.5,4318,127.23,"Unlucky assassin Ladybug is determined to do his job peacefully after one too many gigs gone off the rails. Fate, however, may have other plans, as Ladybug's latest mission puts him on a collision course with lethal adversaries from around the globe—all with connected, yet conflicting, objectives—on the world's fastest train.",90000000,"['87North Productions', 'Columbia Pictures']",239268602,126,The end of the line is just the beginning.
224,68718,Django Unchained,2012-12-25,"['Drama', 'Western']",English,8.2,24173,127.185,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",100000000,"['The Weinstein Company', 'Columbia Pictures']",425368238,165,"Life, liberty and the pursuit of vengeance."
225,619329,Munthiri Kaadu,2023-04-07,"['Drama', 'Action']",Tamil,4.3,3,126.896,In a Village Where they used to Honor Kill Love couples of the opposite cast and in that village A girl and boy from the opposite cast who used to be friends are getting pressure from village people that they love each other . What happens at the End? Whether they succeed or not is the story.,0,['Aathi Thiraikalam'],0,178,
226,550988,Free Guy,2021-08-11,"['Comedy', 'Adventure', 'Science Fiction']",English,7.6,7259,126.769,"A bank teller discovers he is actually a background player in an open-world video game, and decides to become the hero of his own story. Now, in a world where there are no limits, he is determined to be the guy who saves his world his way before it's too late.",110000000,"['Berlanti Productions', '21 Laps Entertainment', 'Maximum Effort', 'Lit Entertainment Group', '20th Century Studios']",331526598,115,Life's too short to be a background character.
227,385448,The Little Mermaid,2018-08-02,"['Family', 'Adventure', 'Fantasy', 'Romance', 'Drama']",English,5.0,801,126.76,A young reporter and his niece discover a beautiful and enchanting creature they believe to be the real little mermaid.,0,"['Kingsway Productions', 'MVP Studios', 'Conglomerate Media']",2614006,98,A new twist on the classic tail
228,643215,Asterix & Obelix: The Middle Kingdom,2023-02-01,"['Comedy', 'Adventure', 'Family']",French,4.9,437,126.713,Gallic heroes and forever friends Asterix and Obelix journey to China to help Princess Sa See save the Empress and her land from a nefarious prince.,72000000,"['Les Éditions Albert René', 'Les Enfants Terribles', 'Pathé', 'Trésor Films']",0,112,
229,1105014,Ripper's Revenge,2023-04-03,['Horror'],English,6.3,24,126.475,"One year on from the notorious Ripper murders, London is terrorised once again by a series of brutal killings. When gruesome letters from the Ripper begin landing on his desk, an innocent reporter finds himself drawn into a deadly mystery, threatening the lives of everyone around him.",0,[],0,85,He hunts again.
